id_venda;data_venda;nome_vendedor;nome_cliente;municipio;bairro;loja;quantidade_vendida;preco_unitario;preco_total;categoria_produto;venda_parcelada;categoria_cliente;data_entrega_prevista;estado
1;2025-03-13;Fabiana Ribeiro;Bruna Lima;Rio de Janeiro;Coxipó;Loja D;2;10.64;21.28;Papelaria;sim;bronze;2025-03-17;Rio de Janeiro
2;2025-06-05;Ricardo Torres;Paulo Oliveira;Aparecida de Goiânia;Coxipó;Loja C;6;43.57;261.42;Papelaria;não;bronze;2025-06-06;Goiás
3;2025-03-30;Fernanda Costa;Ana Andrade;Santarém;Boa Esperança;Loja B;2;142.16;284.32;Utilidades Domésticas;não;prata;2025-04-04;Pará
4;2025-05-19;Eduardo Martins;Luana Ferreira;Corumbá;Coxipó;Loja B;1;138.48;138.48;Esporte;não;bronze;2025-05-21;Mato Grosso do Sul
5;2025-01-22;Helena Dias;André Rocha;Anápolis;Residencial Norte;Loja C;1;952.79;952.79;Eletrodomésticos;sim;bronze;2025-01-26;Goiás
6;2025-06-13;Ítalo Fernandes;Bruna Nogueira;São José dos Campos;Centro;Loja C;2;25.87;51.74;Papelaria;não;prata;2025-06-16;São Paulo
7;2025-03-23;Daniela Freitas;Marina Moura;Goiânia;Areão;Loja D;1;2300.21;2300.21;Móveis;sim;ouro;2025-03-30;Goiás
8;2025-03-10;Fabiana Ribeiro;Fábio Gomes;Brasília;Jardim Atlântico;Loja D;6;34.64;207.84;Papelaria;não;ouro;2025-03-13;Distrito Federal
9;2025-01-25;Eduardo Martins;Cristina Martins;Juiz de Fora;Boa Esperança;Loja B;1;497.97;497.97;Eletrodomésticos;não;ouro;2025-01-26;Minas Gerais
10;2025-05-23;Marcos Lima;Marina Pereira;Ji-Paraná;Jardim América;Loja B;2;1082.30;2164.60;Eletrodomésticos;sim;bronze;2025-05-24;Rondônia
11;2025-05-11;Juliana Alves;Beatriz Ferreira;Londrina;Jardim Europa;Loja B;2;1367.62;2735.24;Móveis;sim;prata;2025-05-13;Paraná
12;2025-06-04;Ítalo Fernandes;Felipe Nogueira;Porto Velho;Centro;Loja B;1;373.06;373.06;Escritório;não;ouro;2025-06-10;Rondônia
13;2025-01-19;Bruno Carvalho;Lucas Melo;Ribeirão Preto;CPA II;Loja D;2;96.05;192.10;Utilidades Domésticas;não;ouro;2025-01-28;São Paulo
14;2025-03-22;Fernanda Costa;Paulo Nogueira;Parintins;Boa Esperança;Loja C;1;1697.45;1697.45;Informática;sim;prata;2025-03-29;Amazonas
15;2025-01-03;Helena Dias;Marina Lima;São Luís;CPA II;Loja B;1;1097.85;1097.85;Eletrônicos;sim;bronze;2025-01-05;Maranhão
16;2025-06-29;Gustavo Pereira;Fábio Rocha;Feira de Santana;Vila Aurora;Loja A;5;21.24;106.20;Papelaria;não;bronze;2025-07-04;Bahia
17;2025-04-28;Daniela Freitas;Roberto Castro;Santa Maria;Residencial Sul;Loja B;1;254.73;254.73;Esporte;não;bronze;2025-05-05;Rio Grande do Sul
18;2025-03-08;Ana Bezerra;Felipe Duarte;Cuiabá;Centro;Loja A;4;41.69;166.76;Papelaria;não;bronze;2025-03-11;Mato Grosso
19;2025-04-29;Helena Dias;Marina Nogueira;Ilhéus;Jardim América;Loja A;2;1264.74;2529.48;Eletrônicos;sim;prata;2025-05-09;Bahia
20;2025-06-16;Bruno Carvalho;Tatiane Gomes;São Paulo;Residencial Norte;Loja D;1;1227.46;1227.46;Eletrônicos;sim;ouro;2025-06-22;São Paulo
21;2025-04-04;Patrícia Nunes;Rogério Rocha;Joinville;Vila Alta;Loja B;1;1392.15;1392.15;Informática;sim;bronze;2025-04-10;Santa Catarina
22;2025-05-17;Marcos Lima;Simone Castro;Contagem;Jardim Europa;Loja B;2;1045.50;2091.00;Informática;sim;prata;2025-05-24;Minas Gerais
23;2025-02-16;Daniela Freitas;Camila Silva;Porto Alegre;Boa Vista;Loja B;1;1288.00;1288.00;Eletrônicos;sim;ouro;2025-02-19;Rio Grande do Sul
24;2025-05-17;Rafael Souza;Paulo Gomes;Curitiba;Areão;Loja C;1;1727.27;1727.27;Móveis;sim;prata;2025-05-21;Paraná
25;2025-01-28;Helena Dias;Tatiane Silva;Rio de Janeiro;CPA I;Loja B;1;1322.67;1322.67;Eletrodomésticos;sim;bronze;2025-02-02;Rio de Janeiro
26;2025-03-09;Patrícia Nunes;André Lima;Manaus;Jardim Atlântico;Loja A;2;55.45;110.90;Utilidades Domésticas;não;bronze;2025-03-18;Amazonas
27;2025-01-30;Carlos Nogueira;Beatriz Nogueira;Belo Horizonte;Jardim América;Loja A;2;1162.36;2324.72;Informática;sim;ouro;2025-02-06;Minas Gerais
28;2025-05-11;Juliana Alves;Fábio Pereira;Sinop;Centro;Loja A;1;1758.86;1758.86;Eletrodomésticos;sim;prata;2025-05-15;Mato Grosso
29;2025-06-28;Gustavo Pereira;Paulo Ribeiro;Palmas;Residencial Sul;Loja C;1;960.77;960.77;Informática;sim;prata;2025-07-06;Tocantins
